Fornecedor,Mês,Valor
WOLFRAMM,2025-03,0
WOLFRAMM,2025-04,0
WOLFRAMM,2025-05,0
WOLFRAMM,2025-06,0
WOLFRAMM,2025-07,0
WOLFRAMM,2025-08,0
WOLFRAMM,2025-09,0
WOLFRAMM,2025-10,0
WOLFRAMM,2025-11,0
WOLFRAMM,2025-12,0
SND,2025-01,2842.46
SND,2025-02,2949.25
SND,2025-03,2838.46
SND,2025-04,3893.74
SND,2025-05,3966.90
SND,2025-06,0
SND,2025-07,0
SND,2025-08,0
SND,2025-09,0
SND,2025-10,0
SND,2025-11,0
SND,2025-12,0
UMENTOR,2025-01,2765.00
UMENTOR,2025-02,2765.00
UMENTOR,2025-03,2765.00
UMENTOR,2025-04,0
UMENTOR,2025-05,0
UMENTOR,2025-06,0
UMENTOR,2025-07,0
UMENTOR,2025-08,0
UMENTOR,2025-09,0
UMENTOR,2025-10,0
UMENTOR,2025-11,0
UMENTOR,2025-12,0
GRUPPE,2025-01,820.26
GRUPPE,2025-02,966.44
GRUPPE,2025-03,3579.58
GRUPPE,2025-04,6241.85
GRUPPE,2025-05,6083.60
GRUPPE,2025-06,2340.54
GRUPPE,2025-07,6036.79
GRUPPE,2025-08,1617.74
GRUPPE,2025-09,8138.90
GRUPPE,2025-10,7000.00
GRUPPE,2025-11,10487.65
GRUPPE,2025-12,13559.78
SOLIDES TANGERINO,2025-01,1706.70
SOLIDES TANGERINO,2025-02,1686.50
SOLIDES TANGERINO,2025-03,1434.85
SOLIDES TANGERINO,2025-04,651.60
SOLIDES TANGERINO,2025-05,531.15
SOLIDES TANGERINO,2025-06,403.30
SOLIDES TANGERINO,2025-07,662.20
SOLIDES TANGERINO,2025-08,701.60
SOLIDES TANGERINO,2025-09,701.60
SOLIDES TANGERINO,2025-10,701.60
SOLIDES TANGERINO,2025-11,945.65
SOLIDES TANGERINO,2025-12,945.65
NEXXERA,2025-01,269.60
NEXXERA,2025-02,349.60
NEXXERA,2025-03,349.60
NEXXERA,2025-04,429.50
NEXXERA,2025-05,429.50
NEXXERA,2025-06,429.50
NEXXERA,2025-07,429.50
NEXXERA,2025-08,429.50
NEXXERA,2025-09,429.50
NEXXERA,2025-10,429.50
NEXXERA,2025-11,429.50
NEXXERA,2025-12,429.50
IMPRIMER,2025-01,2736.81
IMPRIMER,2025-02,2971.45
IMPRIMER,2025-03,2766.04
IMPRIMER,2025-04,2512.41
